Hans Pfitzner,336
Anton Filtz,336
Alexander Utendal,333
Niccolò Piccinni,333
Johann Rosenmüller,328
Giovanni Gabrieli,326
Helmut Lachenmann,324
Roberto Gerhard,324
François-Bernard Mâche,324
Teresa,324
Louis Fuzelier,324
Manuel de Falla,321
Josef Antonín Štěpán,320
Jérôme Naulais,320
Jean-Benjamin de La Borde,320
Francesco Antonio Bonporti,320
Giacomo Carissimi,320
Michael Tippett,318
Johann Nepomuk Hummel,318
Daniel-Lesur,318
Georges Van Parys,316
Étienne Moulinié,315
Ravi Shankar,315
Jacques Hotteterre,312
Gérard Grisey,312
Nicola Porpora,312
Heinrich Ignaz Franz von Biber,312
Pau Casals i Defilló,312
Renaud de Vilbac,312
Jean Wiéner,312
Carl Czerny,310
Jacob Obrecht,308
Guillaume,306
Philippe Leroux,306
Federico Moreno Torroba,304
Avishai Cohen,304
Carlo Caproli,300
Paul Dessau,300
Giovanni Croce,300
Django Reinhardt,300
Boris Aleksandrovič Čajkovskij,300
Jerome Kern,296
Brian Ferneyhough,294
Vincent d' Indy,292
